Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500510,LT,A,3608.50,3608.50,3577.00,3592.40,103335,3711.43,8572
539436,COFFEEDAY,A,48.57,48.57,46.20,46.63,985857,463.68,8563
532898,POWERGRID,A,348.40,348.85,344.45,346.10,292840,1014.16,8544
504351,EMPOWER,XT,2.36,2.37,2.22,2.25,4800554,108.95,8505
543396,PAYTM,A,519.95,521.65,509.00,512.25,294598,1514.74,8397
500257,LUPIN,A,2057.10,2125.30,2057.10,2113.70,99567,2096.24,8378
539594,MISHTANN,B,15.90,16.18,15.74,15.79,2756257,438.02,8365
544138,JGCHEM,B,342.00,344.70,312.50,333.60,201013,667.32,8349
541143,BDL,A,1442.65,1450.00,1422.95,1433.60,120295,1731.03,8311
500086,EXIDEIND,A,487.45,501.95,486.70,493.10,304488,1505.93,8310
532485,BLIL,B,104.00,104.00,95.45,96.15,704281,691.81,8153
539523,ALKEM,A,5743.95,5849.00,5515.30,5793.15,52644,2997.02,8130
523598,SCI,A,262.95,263.55,256.10,257.35,373639,968.84,8084
532155,GAIL,A,231.80,231.80,227.00,227.30,906359,2069.48,7947
532477,UNIONBANK,A,122.50,123.35,121.00,122.95,1130764,1383.51,7881
543958,VLEGOV,B,95.00,104.45,95.00,101.98,1367408,1403.97,7779
500247,KOTAKBANK,A,1794.85,1794.85,1765.00,1769.30,111900,1984.93,7775
534597,RTNINDIA,A,78.69,81.31,77.57,80.03,1338924,1073.41,7725
533022,20MICRONS,B,307.60,331.75,301.30,326.15,253232,810.41,7687
514162,WELSPUNLIV,A,180.50,181.95,175.10,177.25,283168,502.22,7621
524648,INDOAMIN,B,165.65,173.85,158.70,170.70,420604,708.46,7584
513599,HINDCOPPER,A,297.45,306.40,297.45,303.30,370876,1125.12,7505
544028,TATATECH,B,1003.15,1009.95,985.00,989.45,92738,924.05,7415
533269,WABAG,A,1292.20,1321.15,1240.00,1259.75,82408,1051.15,7414
532234,NATIONALUM,A,175.80,178.50,173.00,177.20,649386,1138.82,7378
543232,CAMS,A,4349.65,4439.95,4325.85,4369.10,42337,1860.34,7330
500114,TITAN,A,3358.30,3358.30,3286.45,3331.75,69099,2292.45,7320
544134,PLATIND,B,370.00,384.95,356.15,375.70,300698,1111.78,7277
543974,VPRPL,B,288.95,290.85,275.45,278.35,339766,953.00,7267
539177,AIIL,A,1312.05,1441.00,1312.05,1409.75,98506,1363.91,7221
541233,LEMONTREE,A,129.00,129.55,119.20,119.75,694960,845.78,7202
539254,ADANIENSOL,A,1114.75,1132.05,1100.30,1104.10,158926,1770.76,7200
500550,SIEMENS,A,6855.00,6910.00,6769.00,6882.85,26705,1833.11,7198
517385,SYMPHONY,A,1703.65,1703.95,1634.00,1657.55,73376,1215.82,7162
539561,REMLIFE,B,12.25,12.39,11.40,11.50,4716373,551.25,7161
532800,TV18BRDCST,A,46.42,48.00,45.50,46.78,1988670,933.62,7129
533339,ZENTEC,A,1730.35,1764.00,1680.00,1737.25,86518,1485.10,7101
509480,BERGEPAINT,A,524.65,536.45,514.90,530.55,133115,696.51,7021
542066,ATGL,A,885.00,887.05,866.00,869.45,136126,1189.61,6973
